BTH_YR,GENDER,SCTR_CD,LN_AMT,DLQ_TYPE,DLQ_CD_1,DLQ_CD_2,DLQ_AMT,CD_OPN_CD_1,CD_OPN_CD_2
55,0,8,0.0,1.0,6,1,160000.0,0,0
45,0,6,0.0,1.0,5,1,450.0,0,0
43,0,3,0.0,1.0,3,1,390.0,0,0
26,1,1,0.0,1.0,1,1,11000.0,0,0
49,0,6,0.0,1.0,1,1,54000.0,0,0
38,0,8,0.0,1.0,6,2,13000.0,0,0
34,0,8,0.0,1.0,4,2,800.0,0,0
30,0,8,0.0,1.0,5,2,370.0,0,0
42,1,3,0.0,1.0,3,1,3100.0,1,1
35,0,8,0.0,1.0,4,2,670.0,0,0
54,0,3,0.0,1.0,2,1,1000.0,1,1
62,0,8,0.0,1.0,4,2,6300.0,0,0
62,0,3,0.0,1.0,2,1,5000.0,1,1
37,0,3,0.0,1.0,3,1,1600.0,1,1
46,1,8,0.0,1.0,6,2,730.0,0,0
67,0,3,0.0,1.0,3,1,400.0,1,1
67,0,8,0.0,1.0,6,2,2900.0,0,0
48,0,8,0.0,1.0,5,2,9400.0,0,0
27,0,8,0.0,1.0,5,2,1200.0,0,0
59,0,8,0.0,1.0,5,2,1700.0,0,0
58,0,2,0.0,1.0,1,1,7200.0,0,0
58,0,7,0.0,1.0,1,2,2700.0,0,0
58,0,1,0.0,1.0,1,1,3100.0,0,0
45,1,3,0.0,1.0,3,1,4900.0,1,1
37,0,3,0.0,1.0,3,1,3300.0,1,1
57,0,8,0.0,1.0,6,2,57000.0,0,0
39,0,6,0.0,1.0,1,1,15000.0,0,0
65,1,8,0.0,1.0,5,2,220.0,0,0
27,0,8,0.0,1.0,7,2,7100.0,0,0
72,0,1,0.0,1.0,1,1,7900.0,0,0
49,1,8,0.0,1.0,5,2,1500.0,0,0
38,0,2,0.0,1.0,1,2,5000.0,0,0
44,0,3,0.0,1.0,2,1,8400.0,0,0
48,0,2,0.0,1.0,1,1,1900.0,0,0
40,0,8,0.0,1.0,6,2,7100.0,0,0
62,0,8,0.0,1.0,5,2,820.0,0,0
52,1,3,0.0,1.0,3,1,300.0,0,0
49,0,8,0.0,1.0,5,2,870.0,0,0
33,1,3,0.0,1.0,3,1,1100.0,1,1
33,1,8,0.0,1.0,6,2,6500.0,0,0
39,1,1,0.0,1.0,3,1,6500.0,1,1
38,1,1,0.0,1.0,1,1,3800.0,0,0
21,1,8,0.0,1.0,5,2,2100.0,0,0
46,0,6,0.0,1.0,1,1,500.0,0,0
33,0,8,0.0,1.0,5,2,780.0,0,0
38,1,8,0.0,1.0,6,2,10000.0,0,0
51,0,8,0.0,1.0,6,1,8300.0,0,0
51,0,8,0.0,1.0,5,2,8400.0,0,0
51,0,8,0.0,1.0,6,2,7800.0,0,0
57,0,7,0.0,1.0,1,2,270.0,0,0
57,0,3,0.0,1.0,3,1,1900.0,1,1
71,1,8,0.0,1.0,6,2,3100.0,0,0
39,0,7,9800.0,1.0,1,2,18000.0,0,0
39,0,1,810.0,1.0,1,2,870.0,0,0
39,0,1,150000.0,1.0,1,2,870.0,0,0
39,0,3,260.0,0.0,0,0,0.0,1,1
39,0,7,6800.0,0.0,0,0,0.0,0,0
39,0,7,17000.0,0.0,0,0,0.0,0,0
64,1,1,0.0,1.0,3,1,1500.0,1,2
27,0,3,0.0,1.0,3,1,230.0,2,1
67,0,8,0.0,1.0,4,2,100.0,0,0
67,0,8,0.0,1.0,5,2,490.0,0,0
64,0,8,0.0,1.0,6,1,9500.0,0,0
45,1,3,0.0,1.0,3,1,150.0,1,1
55,0,3,0.0,1.0,3,1,24000.0,1,1
40,1,8,0.0,1.0,6,2,5200.0,0,0
38,0,8,0.0,1.0,6,2,10000.0,0,0
52,1,8,0.0,1.0,6,2,43000.0,0,0
52,1,7,0.0,1.0,1,2,3500.0,0,0
78,0,1,0.0,1.0,8,2,10000.0,0,0
44,0,1,0.0,1.0,1,1,7200.0,0,0
44,0,8,0.0,1.0,5,2,460.0,0,0
44,0,6,0.0,1.0,1,1,2100.0,0,0
48,0,8,0.0,1.0,5,2,16000.0,0,0
43,0,8,0.0,1.0,1,2,53000.0,0,0
40,0,1,0.0,1.0,3,1,70.0,0,0
34,0,8,0.0,1.0,6,1,10000.0,0,0
41,0,8,0.0,1.0,6,1,21000.0,0,0
28,0,8,0.0,1.0,5,2,2500.0,0,0
37,0,3,0.0,1.0,3,1,3100.0,1,1
36,1,8,0.0,1.0,5,2,3500.0,0,0
36,1,8,0.0,1.0,6,2,9000.0,0,0
22,1,8,0.0,1.0,6,2,420000.0,0,0
62,0,3,0.0,1.0,3,1,1500.0,1,1
62,0,1,0.0,1.0,2,2,19000.0,0,0
62,0,3,0.0,1.0,3,1,9600.0,1,1
57,0,3,0.0,1.0,3,1,360.0,1,1
38,0,8,0.0,1.0,5,2,1000.0,0,0
36,0,8,0.0,1.0,5,2,1400.0,0,0
64,0,8,0.0,1.0,5,2,10000.0,0,0
48,1,3,0.0,1.0,3,1,60.0,1,1
43,0,7,0.0,1.0,5,2,1600.0,0,0
38,1,6,0.0,1.0,1,1,1400.0,0,0
67,0,1,0.0,1.0,8,2,3000.0,0,0
49,1,8,0.0,1.0,5,2,2600.0,0,0
57,0,8,0.0,1.0,5,2,1800.0,0,0
60,1,2,0.0,1.0,1,1,16000.0,0,0
50,1,8,0.0,1.0,6,2,20000.0,0,0
50,1,3,0.0,1.0,3,1,110.0,1,1
50,1,3,0.0,1.0,3,1,1600.0,1,1
35,1,3,1800.0,0.0,0,0,0.0,1,1
35,1,3,100.0,0.0,0,0,0.0,1,1
35,1,3,12000.0,0.0,0,0,0.0,1,1
35,1,3,40.0,0.0,0,0,0.0,1,1
35,1,5,14000.0,0.0,0,0,0.0,0,0
35,1,5,16000.0,0.0,0,0,0.0,0,0
24,1,0,0.0,0.0,0,0,0.0,1,1
64,0,8,0.0,1.0,6,1,19000.0,0,0
58,1,8,0.0,1.0,5,2,11000.0,0,0
58,1,8,0.0,1.0,5,2,1000.0,0,0
43,0,1,0.0,1.0,3,1,970.0,0,0
43,0,1,0.0,1.0,1,1,7300.0,0,0
43,0,3,0.0,1.0,3,1,9300.0,1,1
43,0,3,0.0,1.0,3,1,2100.0,1,1
40,0,8,0.0,1.0,6,2,440.0,0,0
48,0,3,0.0,1.0,3,2,1000.0,1,2
48,0,3,0.0,1.0,3,2,1000.0,1,1
34,1,8,0.0,1.0,6,2,6200.0,0,0
21,1,8,0.0,1.0,4,2,1100.0,0,0
43,0,8,0.0,1.0,7,2,6100.0,0,0
